Request Name,Job Title,Job Description,Department,Gender Preference,# of Volunteers,Stage,Skills/Keywords,Add'l Skills,Languages,Work Experience Needed?,Number of Years,Educational Qualification
,,,,,,,IT / Developer - full stack,,,,,
Electrical - Electrical Design Engineer - 2308,Electrical Design Engineer,"1. Design electrical systems for different purposes.
2. Oversee design work and guide the staff/volunteer",Electrical,Any,1,Approved,Construction & Fabrication / Drafting - AutoCad,Soft Skills / Strong Interpersonal skills (Coordinator),English (US),1,0 ~ 5,Bachelor of Engineering (B.E.)
,,,,,,,Engineering / Electrical Engineer,,,,,
Electrical - Electrical Engineer - 2309,Electrical Engineer,"1. Executing field installations and commissioning of electrical systems.
2. Conducting on-site testing, troubleshooting, and ensuring project compliance.",Electrical,Male,2,Approved,Engineering / Electrical Engineer,Soft Skills / Fit for Physical Seva,English (US),1,0 ~ 5,Bachelor of Engineering (B.E.)
,,,,,,,General / Electrician,,,,,
,,,,,,,,Soft Skills / Strong Interpersonal skills (Coordinator),,,,
,,,,,,,,,Tamil,,,
Electrical - Project Manager - 2310,Project Manager,"1. Overseeing the planning, execution, and completion of electrical projects.
2. Managing project budgets, timelines, and resources effectively.
3. Coordinating with internal teams, clients, and subcontractors to ensure successful project delivery.",Electrical,Male,1,Approved,Engineering / Electrical Engineer,Soft Skills / Fit for Physical Seva,English (US),1,6 ~ 10,Bachelor of Engineering (B.E.)
,,,,,,,Soft Skills / Strong Interpersonal skills (Coordinator),,,,,
,,,,,,,,Corporate / Manager - Others,,,,
,,,,,,,,,Tamil,,,
Electrical - Asset and Inventory management - 2311,Asset and Inventory management,"1. Managing inventory levels to meet project and maintenance requirements.
2. Optimizing inventory processes, including ordering, receiving, and storage.",Electrical,Male,2,Approved,General / Inventory,Soft Skills / Fit for Physical Seva,English (US),1,0 ~ 5,
,,,,,,,,,Tamil,,,
Electrical - Asset and Inventory management - 2312,Asset and Inventory management,"1. Managing inventory levels to meet project and maintenance requirements.
2. Optimizing inventory processes, including ordering, receiving, and storage.",Electrical,Male,1,Approved,General / Inventory,Soft Skills / Fit for Physical Seva,English (US),0,,
,,,,,,,,,Tamil,,,
Audio - Technical support for Audio - 2313,Technical support for Audio,"setup support for the events ensures that systems and equipment function properly and deliver high-quality AV for events such as Live Sadhguru events, various ashram events, etc.",Audio,Male,10,Approved,IT / IT - Others,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,English (UK),0,,Other
,,,,,,,General / Inventory,,,,,
,,,,,,,Engineering / Sound Engineer,,,,,
Volunteers Reception Office - Coordinating Activities - 2314,Coordinating Activities,"Seva co-ordination, maintaining seva allocation to volunteers, seva follow-ups, updating seva sheet on the backend etc",Volunteers Reception Office,Male,1,Approved,Basic Computer Skills / Data Entry skills,,,0,,
,,,,,,,Corporate / Operations Executive,,,,,
Project Finance - Accountant - 2315,Accountant,Preparing & Analysing the reports,Finance / Project Finance,Male,2,Approved,Soft Skills / Soft-spoken and cordial,Accounting / Basic Accountancy,Tamil,1,0 ~ 5,Bachelor of Commerce (B.Com)
,,,,,,,,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,,
,,,,,,,,,English (US),,,
Project Finance - Accountant - 2316,Accountant,Donor Support,Finance / Project Finance,Male,2,Approved,Soft Skills / Articulate in communication,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Tamil,1,0 ~ 5,Bachelor of Commerce (B.Com)
,,,,,,,,,English (US),,,
Project Finance - Account Auditor - 2317,Account Auditor,Preparing & Analysing Utilisation reports,Finance / Project Finance,Female,2,Approved,Accounting / Auditor,Soft Skills / Articulate in communication,Tamil,1,0 ~ 5,Master of Commerce (M.Com)
,,,,,,,,IT / Artificial Intelligence/ Machine Learning,,,,
,,,,,,,,,English (US),,,
Project Finance - Accountant - 2318,Accountant,Supporting in technical & admin aspects,Finance / Project Finance,Female,2,Approved,Accounting / Basic Accountancy,Environment / Agriculture/ Farmer,English (US),1,0 ~ 5,Master of Commerce (M.Com)
,,,,,,,,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,,
,,,,,,,,,Tamil,,,
Global Languages Publications - Translators - 2319,Translators,"Turkish TranslatorTranslation of text, creatives (text+image) and videos.
Turkish ProofreaderFinal review of the translated text to correct distorions in translation, grammar mistakes and to maintain the consistency of translation style across all translations withing a given language
Turkish Video EditorVideo editing in DaVinci resolve: stictching audio track to the English video, adding subtitles, supers and slides",Global Languages Publications,Any,3,Approved,Soft Skills / Articulate in communication,Arts and Crafts / Video Editor,Turkish / Türkçe,0,,
Global Languages Publications - Traditional Chinese Video Editor - 2320,Traditional Chinese Video Editor,"Traditional Chinese Support CoordinatorAssigns tasks to volunteers and makes sure that all the tasks are completed on time.
Traditional Chinese TranslatorTranslation of text, creatives (text+image) and videos.
Traditional Chinese ProofreaderFinal review of the translated text to correct distorions in translation, grammar mistakes and to maintain the consistency of translation style across all translations withing a given language",Global Languages Publications,Any,8,Approved,Soft Skills / Articulate in communication,Soft Skills / Strong Interpersonal skills (Coordinator),Chinese (Traditional) / 繁體中文,0,,
Global Languages Publications - Translators - 2321,Translators,"Ukrainian Translator
Ukrainian Video editorVideo editing in DaVinci resolve: stictching audio track to the English video, adding subtitles, supers and slides",Global Languages Publications,Any,2,Approved,Soft Skills / Articulate in communication,Arts and Crafts / Video Editor,Turkish / Türkçe,0,,
Global Languages Publications - Vietnamese Translator - 2322,Vietnamese Translator,"Vietnamese TranslatorTranslation of text, creatives (text+image) and videos.
Vietnamese ProofreaderFinal review of the translated text to correct distorions in translation, grammar mistakes and to maintain the consistency of translation style across all translations withing a given language",Global Languages Publications,Any,2,Approved,Soft Skills / Articulate in communication,,Vietnamese / Tiếng Việt,0,,
Global Languages Publications - Administrative Activities (Back Office) - 2323,Administrative Activities (Back Office),"Training and onboardingCreating training courses for the department volunteers, conducting in-person and online training programs 
Back office supportCreating SRT files based on the English transcript and video, request video stem files, maintain the repository of video stems and transcripts/SRT files.",Global Languages Publications,Any,2,Approved,Soft Skills / Strong Interpersonal skills (Coordinator),Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,0,,
Maintenance - Maintenance Activities - 2324,Maintenance Activities,"Management ,deployment ,operation and recording of daily work progress of Cleanland Road sweeping Machine which we use to clean various pathways in and around Ashram.",Maintenance,Male,2,Approved,Others / Cab Driver,,,0,,HSC/12
,,,,,,,Basic Computer Skills / Data Entry skills,,,,,
Isha Home School - Class Teacher - Junior School - 2325,Class Teacher - Junior School,"* Teach the following subjects of the JS curriculum - English, Math, Environmental Science
* Organise the classroom and learning resources and create displays to encourage a positive learning environment
* Plan, prepare and present lessons that cater for the needs of the whole ability range within the class
* Maintain discipline
* Prepare and assess student work, providing specific feedback for further development
* Create a nurturing and safe environment for students of this age group, keeping in mind their social/ emotional make up and needs
* Maintain records of student progress, and fill out tracking sheets and report cards
* Share observations and provide feedback to parents during parent visits 
* Coordinate activities and resources within a specific area of the curriculum, and support colleagues in the delivery of this specialist area
* Collaborate with other teachers to plan and coordinate work
* Organise and take part in school events, outings and miscellaneous activities as needed",Isha Home School,Male,1,Approved,Education / Primary Teacher,Education / Arts and Crafts Teacher,,1,0 ~ 5,
Isha Home School - Crafts Teacher - 2326,Crafts Teacher,"This is a part time position - we are looking for participants who can offer workshops on skills like Crochet, TT, Comp. games, robotics, creative writing, science club, jewelry making, hair styling. They might be required to come for 2-4 hours every week or they can offer a workshop for a specific number of days.",Isha Home School,Any,10,Approved,Education / Arts and Crafts Teacher,,,0,,
Earthworks - CAD Designer - 2327,CAD Designer,Person should have the knowledge of Auto cade as well as Civil Engineering,Earthworks,Any,2,Approved,Construction & Fabrication / Civil Engineer,Construction & Fabrication / Drafting - AutoCad,,1,0 ~ 5,Bachelor - Other
