Request Name,Job Title,Job Description,Department,Languages,Skills/Keywords,Add'l Skills
Global Languages Publications - Traditional Chinese Video Editor - 2320,Traditional Chinese Video Editor,"Traditional Chinese Support CoordinatorAssigns tasks to volunteers and makes sure that all the tasks are completed on time.
Traditional Chinese TranslatorTranslation of text, creatives (text+image) and videos.
Traditional Chinese ProofreaderFinal review of the translated text to correct distorions in translation, grammar mistakes and to maintain the consistency of translation style across all translations withing a given language",Global Languages Publications,Chinese (Traditional) / 繁體中文,Soft Skills / Articulate in communication,Soft Skills / Strong Interpersonal skills (Coordinator)
Global Languages Publications - Translators - 2321,Translators,"Ukrainian Translator
Ukrainian Video editorVideo editing in DaVinci resolve: stictching audio track to the English video, adding subtitles, supers and slides",Global Languages Publications,Turkish / Türkçe,Soft Skills / Articulate in communication,Arts and Crafts / Video Editor
Global Languages Publications - Vietnamese Translator - 2322,Vietnamese Translator,"Vietnamese TranslatorTranslation of text, creatives (text+image) and videos.
Vietnamese ProofreaderFinal review of the translated text to correct distorions in translation, grammar mistakes and to maintain the consistency of translation style across all translations withing a given language",Global Languages Publications,Vietnamese / Tiếng Việt,Soft Skills / Articulate in communication,NA
Global Languages Publications - Administrative Activities (Back Office) - 2323,Administrative Activities (Back Office),"Training and onboardingCreating training courses for the department volunteers, conducting in-person and online training programs 
Back office supportCreating SRT files based on the English transcript and video, request video stem files, maintain the repository of video stems and transcripts/SRT files.",Global Languages Publications,NA,Soft Skills / Strong Interpersonal skills (Coordinator),Basic Computer Skills / Basic Computer (MS Office and Email) Skills
Maintenance - Maintenance Activities - 2324,Maintenance Activities,"Management ,deployment ,operation and recording of daily work progress of Cleanland Road sweeping Machine which we use to clean various pathways in and around Ashram.",Maintenance,NA,"Others / Cab Driver,Basic Computer Skills / Data Entry skills",NA
Isha Home School - Class Teacher - Junior School - 2325,Class Teacher - Junior School,"* Teach the following subjects of the JS curriculum - English, Math, Environmental Science
* Organise the classroom and learning resources and create displays to encourage a positive learning environment
* Plan, prepare and present lessons that cater for the needs of the whole ability range within the class
* Maintain discipline
* Prepare and assess student work, providing specific feedback for further development
* Create a nurturing and safe environment for students of this age group, keeping in mind their social/ emotional make up and needs
* Maintain records of student progress, and fill out tracking sheets and report cards
* Share observations and provide feedback to parents during parent visits 
* Coordinate activities and resources within a specific area of the curriculum, and support colleagues in the delivery of this specialist area
* Collaborate with other teachers to plan and coordinate work
* Organise and take part in school events, outings and miscellaneous activities as needed",Isha Home School,NA,Education / Primary Teacher,Education / Arts and Crafts Teacher
Isha Home School - Crafts Teacher - 2326,Crafts Teacher,"This is a part time position - we are looking for participants who can offer workshops on skills like Crochet, TT, Comp. games, robotics, creative writing, science club, jewelry making, hair styling. They might be required to come for 2-4 hours every week or they can offer a workshop for a specific number of days.",Isha Home School,NA,Education / Arts and Crafts Teacher,NA
Earthworks - CAD Designer - 2327,CAD Designer,Person should have the knowledge of Auto cade as well as Civil Engineering,Earthworks,NA,Construction & Fabrication / Civil Engineer,Construction & Fabrication / Drafting - AutoCad
Business Finance - Accountant - 2328,Accountant,Basic accounting activities,Business Finance,Tamil,Accounting / Basic Accountancy,NA
Business Finance - Finance & Accounting Executive - 2329,Finance & Accounting Executive,Finance and accounting,Business Finance,Tamil,Corporate / Financial & Accounting Executive,NA
Business Finance - Chartered Accountant - 2330,Chartered Accountant,"Auditing, Accounting and taxation",Business Finance,"Tamil,English (UK)",Accounting / Auditor,NA
Isha Leadership Academy - Administrative Activities (Back Office) - 2331,Administrative Activities (Back Office),Support Sadhguru Academy with creating a repository of knowledge. This will involve consolidating all the Isha leadership content into the SGA system.,Sadhguru Academy,English (UK),Soft Skills / Articulate in communication,NA
Vahanam - Maintenance Support - 2332,Maintenance Support,Maintaining records and job work activity,Vahanam,NA,Accounting / Basic Accountancy,NA
Vahanam - On ground Support - 2333,On ground Support,Support needed in cycle pooling support and shuttle service,Vahanam,NA,Soft Skills / Fit for Physical Seva,NA
Vahanam - Call Centre - 2334,Call Centre,Calling activity for taxi booking and taxi vendor calling for allocation part,Vahanam,"Tamil,English (US)",Basic Computer Skills / Basic Computer (MS Office and Email) Skills,NA
Vahanam - Accountant - 2335,Accountant,For back office purpose,Vahanam,NA,"Accounting / Basic Accountancy,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Accounting / Chartered Accountant",NA
Electrical - Administrative Activities (Back Office) - 2336,Administrative Activities (Back Office),"Raising meeting room requests 
Transport / travel requests 
Maintain a expenses logRaising other department requests 
Compiling everyday Log / status snapshots 
Eg EB units / DG units / solar units / no of power interruptions / no of safety related Incidents/ total complaints raised / resolved / meetings / etc",Electrical,NA,Soft Skills / Soft-spoken and cordial,NA
Electrical - Session Facilitator - 2338,Session Facilitator,"1.Developing Training Programs: Designing and developing training programs and materials tailored to the specific needs of the electrical department. This may involve creating presentations, manuals, and hands-on exercises.
2.Conducting Training Sessions: Delivering training sessions to employees, covering topics such as electrical safety, code compliance, equipment operation, maintenance procedures, and troubleshooting techniques.
3.Hands-On Demonstrations: Providing hands-on demonstrations and practical exercises to reinforce theoretical knowledge and ensure understanding of electrical concepts and techniques.
4. Safety Training: Emphasizing the importance of safety protocols and procedures in electrical work. Training employees on how to identify and mitigate electrical hazards to prevent accidents and injuries.
5. Documentation and Reporting: Maintaining accurate records of training activities, attendance, and trainee progress. Generating reports for management to track training effectiveness and compliance.",Electrical,"Tamil,English (US)",General / Electrician,Media and Communication / Soft Skills Trainer
